序号,品牌,判定,价格虚高风险,原因,数据来源
1327,"GLAETZER,木桐酒庄（Chateau Mouton Rothschild）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1328,"TSUBAKI,マドンナ MADONNA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1329,"BIOXCIN,嘉娜宝（KANEBO）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1330,YSL,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
1331,"KISS YOU,SALONIA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1332,"澳芝曼（G＆M）,艾珂薇（ACWELL）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1333,"牛乳石硷,欧仕派（OLD SPICE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1334,"伊贝诗,一叶子 ONE LEAF",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1335,"玛尔斯（MARVIS）,晶杰",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1336,"Dermaroller,保美雅（Promina）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1337,"春雨（Papa recipe）,SUMDOY",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1338,"JODYJAZZ,巴哈",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1339,"宝碟,KEF",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1340,STAUD BEAUTY,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1341,"HOSIKA,ANYSMIC",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1342,แบรนด์,待核验(未分类),待核验,需进一步核实,规则推断·未核验
1343,"喜宝（HiPP）,子母（DUTCH LADY）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1344,美体小铺（The Body Shop）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1345,"可口可乐（Coca Cola）,味霸",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1346,"South Pacific Salt,Mrs Rogers",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1347,"sun dance,Partyfly",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1348,"101CAFFE,ETHICAP",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1349,"金鸟（KINCHO）,Amino mason",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1350,"QSQG,柔恩莱（ROUND LAB）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1351,"德国唯宝（Villeroy&Boch）,MEPAL",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1352,"艾天然（Attenir）,蛇毒（Spa treatment）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1353,VZP,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
1354,"SUNSTAR,喜宝（HiPP）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1355,Anthéla,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1356,欧护（OFF！）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1357,"Lychee Gold,十四代",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1358,"二宝（Nimm2）,闻绮（Venchi）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1359,"Ausiki,子母（DUTCH LADY）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1360,"莱家（LOACKER）,NEXXUS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1361,天维美,非假洋牌(国产),低,需进一步核实,规则推断·未核验
1362,"VIAGGIO ESPRESSO,ZESS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1363,Waitrose,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1364,"Alessi,日立（HITACHI）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1365,"格兰花格（Glenfarclas）,格兰冠（Glen Grant）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1366,"雅霜,松山油脂",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1367,"帆船,欧护（OFF！）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1368,"GOQURIA,Refine",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1369,"其他家,钜记饼家",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1370,"养命酒,尤妮佳（unicharm）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1371,"博智,若瑟",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1372,"ALJOMAR,蓝丝帕",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1373,"格兰纳里奇（GlenAllachie）,克斯阿苏尔",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1374,"DX,PP",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1375,"纽乐葆,优佳（Ultrasun）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1376,"馬油保湿成分（horse oil）,吾诺",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1377,"Lychee Gold,仓吉",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1378,"圣艾芙（S.IV）,Dariya",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1379,"所望（SOMANG）,润培",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1380,SAFERUN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1381,"十四代,作品一号",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1382,"格兰纳里奇（GlenAllachie）,克拉米伦庄园（Chateau Clerc Milon）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1383,"波路梦（Bourbon）,森永（Morinaga）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1384,"格兰纳里奇（GlenAllachie）,富特尼（Old Pulterior）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1385,"世喜花语,Didinika",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1386,"Moonshine,火龙（FIREBALL）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1387,"碧雅诗,Dariya",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1388,"JOLI,PLIFT",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1389,"加州乐事,世界名庄（Fine Wine）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1390,"晶杰,elmex",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1391,"乎刻,ego qv",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1392,"高丝（Kose）,玉肌（TAMANOHADA）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1393,"奥纯冠（Nature One Dairy）,Caprilac",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1394,"久光令,保美雅（Promina）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1395,SPICARE V3,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1396,SUMMER'S EVE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1397,"FAMILIE,珍殿",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1398,"梦达俊雅丝（MONTAGNE JEUNESSE）,叙美雅",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1399,"IWACHU,aarke",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1400,"e.l.f.,EOS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1401,"立兴（Botherless）,Trident",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1402,古缇（CULTI）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1403,"scenkan,地球乐园",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1404,"妃漾迷,HIEUAILR",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1405,"（Martell）,卡慕（CAMUS）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1406,"其他家,波尔若米",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1407,"Moccona,Bubs",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1408,"too faced,向日花",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1409,"奥纯冠（Nature One Dairy）,香蕉船（Banana Boat）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1410,OVANO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1411,"skinB5,SorLife",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1412,"其他家,DOGADAN",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1413,"猛虎皇,自然之选",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1414,"保加奥图,美漾（Mayfresh）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1415,天上野,非假洋牌(国产),低,需进一步核实,规则推断·未核验
1416,美源（bigen）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1417,"Nutrition Care,pipingrock",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1418,"三井（TRI-WELL）,Malin+Goetz",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1419,"妮飘（Nepia）,象普（SHINPUR）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1420,"金缕梅（Thayers）,VANICREAM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1421,"波路梦（Bourbon）,朝日",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1422,iosn,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1423,"玉肌（TAMANOHADA）,欧仕派（OLD SPICE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1424,"朗德林（Laundrin）,摩隆（MARO）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1425,"玛蒂德肤（MartiDerm）,DELIPLUS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1426,"LITTLE GIANT,天鹅庄",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1427,"欧仕派（OLD SPICE）,GLYSOMED加素美",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1428,"A-Scabs,FSNMN",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1429,"哈奴曼,爱托美",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1430,"金鸟（KINCHO）,追幸兔",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1431,ECOMAAT,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1432,"BALVENIE,格兰威特",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1433,Burwilde,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1434,"Nuilaa,NUMBUZIN",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1435,"迪朗贝斯（DELON）,桐灰（KIRIBAI）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1436,"维蕾德（WELEDA）,Bubs",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1437,"Ronas,苏秘37°（Su:m37°）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1438,"马祖,八八坑道",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1439,澳滋（Oz Farm）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1440,PALAIR,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1441,"喜宝（HiPP）,Ausiki",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1442,"拉瓦萨（LAVAZZA）,德龙(Delonghi)",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1443,"Ferrero,LAVAZZA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1444,"牛乳石硷,金牌一条根",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1445,"Benamor,Aquaphor",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1446,"朝日,味霸",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1447,"贝拉米（Bellamy's）,CAMELICIOUS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1448,AVIOT,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1449,TOALSON,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1450,"其他家,SO ACAI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1451,"臻护新苼,Hero",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1452,KJUS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1453,"每日（Maeil）,森宝（Semper）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1454,Ronas,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1455,"ANINE BING,MSGM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1456,"vigrx plus,Bubs",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1457,福摩（Fromm）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1458,"高丝（Kose）,尼佰世",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1459,"NINJA,Breville",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1460,ALIVAYA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1461,"高丝（Kose）,维蕾德（WELEDA）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1462,"OXYENERGY 氧气能量,RD",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1463,"高丝（Kose）,杰士派（GATSBY）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1464,"VITACREME B12,拉普瑞斯（lapulovce）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1465,truezyme,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1466,朝日（Asahi）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1467,OMIEBOX,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1468,培健（Rogaine）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1469,"菲诗小铺（THE FACE SHOP）,自然乐园",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1470,"健美生,DCY",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1471,"悠斯晶（yuskin）,芭乐雅（Balea）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1472,Nutriben,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1473,万多福,非假洋牌(国产),低,需进一步核实,规则推断·未核验
1474,ICHENDORF,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1475,NOTHING BETTER,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1476,润美迪欧,非假洋牌(国产),低,需进一步核实,规则推断·未核验
1477,"阿彼芙（ABIB）,NUMBUZIN",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1478,"劲浪airwaves,新亚（Sina）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1479,"多良见,阿华田（Ovaltine）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1480,"桐灰（KIRIBAI）,asahi",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1481,"庭萃,雅蔻（ARTDECO）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1482,"BABI,Tondi",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1483,"Bubs,艾优睿",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1484,"亭宜（tani）,HOM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1485,"高丝（Kose）,UZU",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1486,"黛莉亚,BH",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1487,"瓦提卡（vatika）,Pelican",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1488,"辛克宝贝（thinkbaby）,欧仕派（OLD SPICE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1489,"Dermaroller,ANTIO",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1490,"高丝（Kose）,东丽（TORAY）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1491,"万金,肤润康（FUYUNHON）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1492,"Unichi,无比膏",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1493,"HARIO,日立（HITACHI）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1494,"力士金庄园,卡慕（CAMUS）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1495,"Refine,MJ",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1496,"peripera,匠の技（TAKUMINOWAZA）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1497,"格兰纳里奇（GlenAllachie）,大摩（DALMORE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1498,"K9 Natural,哈根纽翠斯（NUTRIENCE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1499,洛克星菲（LOCKSTARFY）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1500,"HABA,春雨（Papa recipe）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1501,"Dugladze wines&spirits,玛莎内庄园（MASHANEIZHUANGYUAN）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1502,"贝拉米（Bellamy's）,BTNature",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1503,"康俪美（HBII）,艾诗（Enchanteur）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1504,"贝拉米（Bellamy's）,艾优睿",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1505,"POBTOS5+,雅蔻（ARTDECO）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1506,"高丝（Kose）,HEAVEN PINK",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1507,"碧雅诗,SP",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1508,SENKA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1509,新安怡（AVENT）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1510,"苏秘37°（Su:m37°）,欧蕙（OHUI）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1511,"S&B,頂好牌",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1512,"CLAYMORE,Concha y Toro",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1513,"浮美,美浮特",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1514,"森宝（Semper）,安满（ANMUM）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1515,"卢卡斯Lucas,SHEVEU",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1516,"VINA POMAL,龙船（Chateau Beychevelle）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1517,楼上,非假洋牌(国产),低,需进一步核实,规则推断·未核验
1518,"藏（KURA）,喜宝（HiPP）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1519,"NANOCARE,Moccona",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1520,"SEAKISS,LOSOKI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1521,"珀莱雅双抗,梦希蓝",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1522,"Dariya,尚和手套（SHOWA）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1523,"汉方,巧虎",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1524,"珀莱雅双抗,恩沙（ENTIA）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1525,"麦卡伦（MACALLAN）,格兰花格",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1526,"XD,昆斯特勒",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1527,ENSURE GUARD,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1528,"帮庭（bounty）,Medallion",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1529,cellpure,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1530,"中原（TRUNG NGUYEN）,HEALTHY GARDEN",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1531,"菲洛嘉（Filorga）,White feather",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1532,"康如（KLORANE）,老瑤薑",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1533,"Jam,娜帕蒂卡",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1534,"恩萃（NATURAL greatness）,A.P.D.C.",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1535,"C,YS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1536,"牛乳石硷,意立诗（ellips）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1537,"缤若诗（Bifesta）,杰士派（GATSBY）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1538,耐斯澎澎,非假洋牌(国产),低,需进一步核实,规则推断·未核验
1539,"蜜丝婷（misiting）,悠莱",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1540,"梦希蓝,Dariya",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1541,"金鸟（KINCHO）,汉方",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1542,"KESALAN PATHARAN,芮芓",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1543,"Bubs,布朗康田酒庄（Chateau Brane-Cantenac）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1544,"贝娜婷（Penaten）,澳肌莱（Skin Nutrient）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1545,"Dariya,托尼魅力（TonyMoly）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1546,"阿彼芙（ABIB）,苏秘37°（Su:m37°）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1547,"日本叮叮,MADONNA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1548,美士,非假洋牌(国产),低,需进一步核实,规则推断·未核验
1549,"藤井源创,ANTIO",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1550,"梦达俊雅丝（MONTAGNE JEUNESSE）,优斐斯（uface）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1551,"高丝（Kose）,优斐斯（uface）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1552,"珀莱雅双抗,DEVIANCE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1553,"377,美妍世家",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1554,"贝拉米（Bellamy's）,贝臣（Bübchen）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1555,"喜宝（HiPP）,牛栏（Cow&Gate）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1556,"皇家澳纽（ROYAL AUSNZ）,和光堂（Wakodo）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1557,路易老爷（Louis Royer）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1558,"HABA,SUMDOY",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1559,ESSONIO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1560,"铂富（Breville）,Nespresso",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1561,"秀雅韩（Sooryehan）,丽得姿（LEADERS）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1562,"其他家,厚健堂",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1563,QV,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
1564,merci,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1565,AlmaWin,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
